"MPIO_CDPMP","FID","REGION","Cardinal","elsnlfc","elsnmrfc","clrgstch","clrgwkch"
"05001",282,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05002",305,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05004",304,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05021",303,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05030",302,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05031",301,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05034",300,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05036",299,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05038",298,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05040",297,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05042",296,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05044",295,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05045",404,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05051",294,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05055",293,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05059",292,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05079",291,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05086",290,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05088",289,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05091",288,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05093",287,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05101",283,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05107",284,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05113",285,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05120",286,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05125",351,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05129",350,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05134",349,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05138",348,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05142",347,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05145",346,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05147",345,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05148",344,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05150",343,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05154",342,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05172",341,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05190",340,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05197",339,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05206",338,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05209",337,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05212",336,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05234",398,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05237",335,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05240",334,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05250",333,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05264",332,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05266",331,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05282",330,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05284",399,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05306",329,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05308",397,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05310",396,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05313",395,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05315",394,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05318",393,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05321",392,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05347",391,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05353",390,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05360",389,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05361",400,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05364",388,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05368",387,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05376",386,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05380",1121,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05390",385,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05400",384,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05411",383,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05425",382,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05440",381,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05467",380,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05475",402,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05480",379,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05483",378,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05490",377,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05495",376,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05501",375,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05541",374,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05543",373,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05576",372,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05579",371,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05585",370,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05591",369,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05604",368,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05607",367,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05615",366,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05628",365,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05631",1120,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05642",364,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05647",363,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05649",362,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05652",361,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05656",360,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05658",359,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05659",358,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05660",357,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05664",356,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05665",355,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05667",354,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05670",353,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05674",352,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05679",328,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05686",327,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05690",326,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05697",325,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05736",324,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05756",323,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05761",322,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05789",321,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05790",320,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05792",319,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05809",318,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05819",317,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05837",316,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05842",315,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05847",401,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05854",314,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05856",313,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05858",312,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05861",311,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05873",403,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05885",310,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05887",309,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05890",308,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05893",307,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"05895",306,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"08001",466,"Región Caribe","North",0.25,0.222,0.333,0.1
"08078",467,"Región Caribe","North",0.25,0.222,0.333,0.1
"08137",468,"Región Caribe","North",0.25,0.222,0.333,0.1
"08141",469,"Región Caribe","North",0.25,0.222,0.333,0.1
"08296",470,"Región Caribe","North",0.25,0.222,0.333,0.1
"08372",471,"Región Caribe","North",0.25,0.222,0.333,0.1
"08421",472,"Región Caribe","North",0.25,0.222,0.333,0.1
"08433",473,"Región Caribe","North",0.25,0.222,0.333,0.1
"08436",474,"Región Caribe","North",0.25,0.222,0.333,0.1
"08520",475,"Región Caribe","North",0.25,0.222,0.333,0.1
"08549",476,"Región Caribe","North",0.25,0.222,0.333,0.1
"08558",477,"Región Caribe","North",0.25,0.222,0.333,0.1
"08560",478,"Región Caribe","North",0.25,0.222,0.333,0.1
"08573",479,"Región Caribe","North",0.25,0.222,0.333,0.1
"08606",480,"Región Caribe","North",0.25,0.222,0.333,0.1
"08634",481,"Región Caribe","North",0.25,0.222,0.333,0.1
"08638",482,"Región Caribe","North",0.25,0.222,0.333,0.1
"08675",483,"Región Caribe","North",0.25,0.222,0.333,0.1
"08685",484,"Región Caribe","North",0.25,0.222,0.333,0.1
"08758",485,"Región Caribe","North",0.25,0.222,0.333,0.1
"08770",486,"Región Caribe","North",0.25,0.222,0.333,0.1
"08832",487,"Región Caribe","North",0.25,0.222,0.333,0.1
"08849",488,"Región Caribe","North",0.25,0.222,0.333,0.1
"11001",908,"Región Centro Oriente","East",0.125,0,0.111,0.3
"13001",489,"Región Caribe","North",0.25,0.222,0.333,0.1
"13006",490,"Región Caribe","North",0.25,0.222,0.333,0.1
"13030",491,"Región Caribe","North",0.25,0.222,0.333,0.1
"13042",492,"Región Caribe","North",0.25,0.222,0.333,0.1
"13052",493,"Región Caribe","North",0.25,0.222,0.333,0.1
"13062",494,"Región Caribe","North",0.25,0.222,0.333,0.1
"13074",495,"Región Caribe","North",0.25,0.222,0.333,0.1
"13140",496,"Región Caribe","North",0.25,0.222,0.333,0.1
"13160",497,"Región Caribe","North",0.25,0.222,0.333,0.1
"13188",498,"Región Caribe","North",0.25,0.222,0.333,0.1
"13212",499,"Región Caribe","North",0.25,0.222,0.333,0.1
"13222",500,"Región Caribe","North",0.25,0.222,0.333,0.1
"13244",501,"Región Caribe","North",0.25,0.222,0.333,0.1
"13248",502,"Región Caribe","North",0.25,0.222,0.333,0.1
"13268",503,"Región Caribe","North",0.25,0.222,0.333,0.1
"13300",1108,"Región Caribe","North",0.25,0.222,0.333,0.1
"13430",1110,"Región Caribe","North",0.25,0.222,0.333,0.1
"13433",504,"Región Caribe","North",0.25,0.222,0.333,0.1
"13440",505,"Región Caribe","North",0.25,0.222,0.333,0.1
"13442",506,"Región Caribe","North",0.25,0.222,0.333,0.1
"13458",507,"Región Caribe","North",0.25,0.222,0.333,0.1
"13468",508,"Región Caribe","North",0.25,0.222,0.333,0.1
"13473",509,"Región Caribe","North",0.25,0.222,0.333,0.1
"13490",510,"Región Caribe","North",0.25,0.222,0.333,0.1
"13549",511,"Región Caribe","North",0.25,0.222,0.333,0.1
"13580",512,"Región Caribe","North",0.25,0.222,0.333,0.1
"13600",513,"Región Caribe","North",0.25,0.222,0.333,0.1
"13620",514,"Región Caribe","North",0.25,0.222,0.333,0.1
"13647",515,"Región Caribe","North",0.25,0.222,0.333,0.1
"13650",1109,"Región Caribe","North",0.25,0.222,0.333,0.1
"13654",516,"Región Caribe","North",0.25,0.222,0.333,0.1
"13655",517,"Región Caribe","North",0.25,0.222,0.333,0.1
"13657",518,"Región Caribe","North",0.25,0.222,0.333,0.1
"13667",519,"Región Caribe","North",0.25,0.222,0.333,0.1
"13670",520,"Región Caribe","North",0.25,0.222,0.333,0.1
"13673",521,"Región Caribe","North",0.25,0.222,0.333,0.1
"13683",522,"Región Caribe","North",0.25,0.222,0.333,0.1
"13688",523,"Región Caribe","North",0.25,0.222,0.333,0.1
"13744",524,"Región Caribe","North",0.25,0.222,0.333,0.1
"13760",525,"Región Caribe","North",0.25,0.222,0.333,0.1
"13780",526,"Región Caribe","North",0.25,0.222,0.333,0.1
"13810",527,"Región Caribe","North",0.25,0.222,0.333,0.1
"13836",528,"Región Caribe","North",0.25,0.222,0.333,0.1
"13838",529,"Región Caribe","North",0.25,0.222,0.333,0.1
"13873",530,"Región Caribe","North",0.25,0.222,0.333,0.1
"13894",531,"Región Caribe","North",0.25,0.222,0.333,0.1
"15001",637,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15022",638,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15047",639,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15051",640,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15087",641,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15090",642,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15092",643,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15097",644,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15104",645,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15106",646,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15109",647,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15114",648,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15131",649,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15135",650,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15162",651,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15172",652,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15176",653,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15180",757,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15183",654,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15185",655,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15187",656,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15189",657,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15204",658,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15212",659,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15215",660,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15218",677,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15223",758,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15224",678,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15226",679,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15232",680,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15236",681,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15238",682,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15244",683,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15248",684,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15272",685,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15276",686,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15293",687,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15296",688,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15299",689,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15317",690,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15322",691,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15325",692,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15332",759,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15362",693,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15367",694,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15368",695,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15377",661,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15380",662,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15401",663,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15403",664,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15407",696,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15425",697,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15442",698,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15455",699,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15464",700,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15466",701,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15469",702,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15476",703,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15480",704,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15491",705,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15494",706,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15500",707,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15507",708,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15511",709,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15514",710,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15516",711,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15518",712,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15522",713,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15531",714,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15533",715,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15537",716,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15542",665,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15550",666,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15572",667,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15580",668,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15599",717,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15600",718,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15621",719,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15632",720,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15638",721,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15646",722,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15660",723,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15664",724,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15667",725,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15673",726,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15676",727,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15681",728,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15686",729,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15690",730,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15693",731,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15696",732,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15720",733,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15723",734,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15740",735,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15753",736,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15755",669,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15757",670,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15759",671,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15761",672,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15762",737,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15763",738,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15764",739,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15774",740,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15776",741,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15778",742,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15790",743,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15798",744,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15804",745,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15806",746,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15808",747,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15810",748,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15814",749,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15816",750,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15820",751,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15822",752,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15832",753,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15835",754,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15837",755,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15839",756,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15842",673,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15861",674,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15879",675,"Región Centro Oriente","East",0.125,0,0.111,0.3
"15897",676,"Región Centro Oriente","East",0.125,0,0.111,0.3
"17001",229,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17013",230,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17042",242,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17050",241,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17088",240,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17174",239,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17272",238,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17380",237,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17388",236,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17433",235,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17442",234,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17444",233,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17446",232,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17486",231,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17495",243,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17513",254,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17524",253,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17541",252,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17614",255,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
"17616",251,"Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1
